Date,Biochemical Oxygen Demand,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,Total Coliform,pH,Turbidity,Temperature,Rainfall,Conductivity,WQI,Quality
01-01-2020,3.774603006,5.942701295,7326.480435,7295.231092,0.05514005,14629.52386,7.834503473,25.36473458,13.7,0.0,262.6740949,65.02813744944011,Poor
02-01-2020,3.706387714,5.823543686,7023.113878,7000.0,0.0,14018.55395,7.804502231,16.18606319,16.3,0.2,256.9944311,68.3031451731157,Poor
03-01-2020,3.780283266,5.989214999,7431.37092,7388.36026,0.072295719,14830.48384,7.84569085,28.34973102,16.6,2.679204569,265.579025,63.74626326604971,Poor
04-01-2020,3.863136775,6.173404158,7885.475625,7835.891346,0.160980234,15733.76304,7.891491629,41.88248493,15.0,0.0,275.1122336,63.73450224897374,Poor
05-01-2020,3.682758325,5.831725855,7024.46661,7000.0,0.0,14006.47023,7.805808314,16.0,13.2,0.0,258.3746957,68.073279297724,Poor
06-01-2020,3.678121715,5.842122038,7043.200763,7000.0,0.0,14038.32075,7.808126471,16.41454206,15.5,0.0,259.2634059,67.78556570506933,Poor
07-01-2020,3.854841692,6.215816367,7969.739388,7897.686196,0.17053059,15885.43888,7.901252097,44.10145026,16.3,0.0,278.3394381,63.79898881158152,Poor
08-01-2020,3.769073501,6.065113335,7584.845993,7504.394542,0.090822477,15109.3534,7.863261404,32.43917234,14.7,0.0,271.2179007,63.54798760931769,Poor
09-01-2020,3.640818186,5.830008853,7000.0,7000.0,0.0,14000.0,7.804153464,16.0,15.0,0.0,259.898467,68.11239327183074,Poor
10-01-2020,3.737484557,6.045314199,7517.770455,7419.174282,0.071510335,14961.59378,7.857631193,30.17741626,12.6,0.0,271.1215715,63.51078929524642,Poor
11-01-2020,3.632378386,5.857634408,7039.134301,7000.0,0.0,14000.0,7.810345955,16.0,12.6,0.0,262.2173304,67.34807282566979,Poor
12-01-2020,3.627668794,5.871301044,7063.436014,7000.0,0.0,14037.98176,7.813380748,16.27342553,12.6,0.0,263.4021798,66.96976634496829,Poor
13-01-2020,3.69399095,6.027577602,7443.837257,7314.694808,0.046796156,14790.81768,7.852051559,27.53940904,13.0,0.0,271.7391457,63.473925139012366,Poor
14-01-2020,3.5,5.8,7000.0,7000.0,0.0,14000.0,7.8,16.0,13.5,0.0,254.0,68.959654108674,Poor
15-01-2020,3.5,5.8,7000.0,7000.0,0.0,14000.0,7.8,16.0,15.8,0.0,254.7451542,68.959654108674,Poor
16-01-2020,3.600425987,5.914552161,7127.882661,7000.0,0.0,14133.05739,7.822502644,17.5868345,17.7,0.0,267.7854286,65.76934406878964,Poor
17-01-2020,3.551063014,5.841572556,7000.0,7000.0,0.0,14000.0,7.803794794,16.0,16.9,0.0,264.7444548,67.77296307338044,Poor
18-01-2020,3.679500071,6.124702851,7628.931566,7440.208406,0.064451286,15116.32076,7.874098594,32.27300354,16.4,0.0,279.5297582,63.61958798047074,Poor
19-01-2020,3.553041234,5.898543415,7050.759548,7000.0,0.0,14000.0,7.81706428,16.0,14.6,0.0,268.871171,66.20003852801867,Poor
20-01-2020,3.5,5.816557155,7000.0,7000.0,0.0,14000.0,7.8,16.0,13.6,2.0,265.4416461,68.47704374650829,Poor
21-01-2020,3.782067407,6.411586543,8306.620401,8077.101994,0.186730598,16441.102,7.944289695,52.04273394,14.3,8.804906671,295.8831087,64.08333447594063,Poor
22-01-2020,3.608817956,6.093303891,7496.948158,7253.013635,0.020110912,14810.94542,7.864178428,27.55434505,14.4,0.3,280.6789698,63.55404630707571,Poor
23-01-2020,3.634085498,6.172524695,7680.645281,7421.89281,0.052034503,15167.22621,7.883427956,32.86151196,14.9,0.0,285.369794,63.68122626325633,Poor
24-01-2020,3.5,5.895180769,7000.0,7000.0,0.0,14000.0,7.813521398,16.0,15.3,0.8,272.2519556,66.27464590968931,Poor
25-01-2020,3.564905493,6.092910407,7451.749091,7162.17291,0.0,14686.31605,7.862368495,25.57080024,13.5,3.0,282.9071473,63.54208823726591,Poor
26-01-2020,3.626512388,6.24616679,7819.393317,7513.820508,0.064567501,15409.60703,7.900082717,36.3801734,14.8,0.0,291.3578004,63.79126281969443,Poor
27-01-2020,3.5,6.016511077,7229.38572,7000.0,0.0,14217.30669,7.842054532,18.4547178,16.4,0.0,280.6817393,63.40787565167965,Poor
28-01-2020,3.645290114,6.34510238,8034.628786,7695.916875,0.096844386,15815.22364,7.923573898,42.3815748,17.2,0.0,297.9366806,63.94646700808861,Poor
29-01-2020,3.543882543,6.173606596,7589.292067,7233.447502,0.00220893,14911.70071,7.880057478,28.78589925,18.9,0.0,290.2056746,63.65895780844811,Poor
30-01-2020,3.571055305,6.259678671,7787.517848,7414.171959,0.036166156,15295.02628,7.900919197,34.49202946,17.0,1.0,295.3712186,63.796789370254324,Poor
31-01-2020,3.536385559,6.22246352,7677.173438,7285.96274,0.008291211,15060.93885,7.890945479,30.93605604,15.4,1.8,294.3903029,63.73089388345599,Poor
01-02-2020,3.778169936,6.73854489,8949.723333,8540.289637,0.256878715,17592.37139,8.019282459,68.86198666,15.9,2.0,321.0918541,64.58648999634434,Poor
02-02-2020,3.588033723,6.391163716,8063.275101,7635.265616,0.073551937,15805.54309,7.931740573,42.01312261,15.5,0.0,304.637653,64.00211325635794,Poor
