Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform,WQI,Quality
01-01-2020,1.676295389,196.4360183,18.1,23.55085696,4.345559676,59525.09096,50.81317084,0.117662758,6.979505193,0.0,96406.6215,58.71893900750564,Poor
02-01-2020,1.55417202,178.0256272,19.4,12.3,4.100041897,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
03-01-2020,1.716634402,202.2955651,15.9,27.06586365,4.423591406,62766.94106,54.16344559,0.154752707,6.998303771,0.0,101538.338,58.71893900750564,Poor
04-01-2020,1.897372412,229.2993425,16.2,44.84964478,4.783588361,80398.0499,71.85515497,0.333674755,7.087906538,0.0,127344.3587,59.29972985343341,Poor
05-01-2020,1.552001763,178.0,15.8,12.3,4.1,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
06-01-2020,1.558465497,178.2270728,15.0,12.3,4.102506762,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
07-01-2020,1.927988441,233.526276,14.8,46.91994737,4.839764915,81946.51198,73.61075234,0.358083747,7.10059552,0.0,130413.0793,59.383564853166206,Poor
08-01-2020,1.772876323,210.1228553,17.4,31.0382148,4.527651069,65869.72984,57.61139166,0.200651609,7.022060539,0.0,107409.5283,58.864691068716745,Poor
09-01-2020,1.55,178.0,17.7,12.3,4.1,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
10-01-2020,1.743551208,205.4289528,16.2,27.30518089,4.464918277,61715.28477,53.62421824,0.166314015,7.005282988,0.0,102050.5586,58.753843249435256,Poor
11-01-2020,1.550757347,178.0,14.7,12.3,4.1,49000.0,40.0,0.0,6.92,0.2,80000.0,58.71893900750564,Poor
12-01-2020,1.559077857,178.0,16.1,12.3,4.1,49000.0,40.0,0.0,6.92,0.1,80000.0,58.71893900750564,Poor
13-01-2020,1.709777816,199.8660898,16.6,22.58017821,4.390498581,56280.84485,48.47137679,0.124102215,6.984835741,0.0,95290.09398,58.71893900750564,Poor
14-01-2020,1.55,178.0,17.7,12.3,4.1,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
15-01-2020,1.55,178.0,18.6,12.3,4.1,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
16-01-2020,1.578656611,179.6372635,20.2,12.3,4.120500844,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
17-01-2020,1.55,178.0,21.1,12.3,4.1,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
18-01-2020,1.775623192,208.7737787,21.9,26.53608929,4.508783673,58852.9939,51.59278553,0.173488419,7.010813553,0.0,101203.2501,58.79038321105686,Poor
19-01-2020,1.55,178.0,19.7,12.3,4.1,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
20-01-2020,1.55,178.0,16.9,12.3,4.1,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
21-01-2020,2.041089379,247.9301466,16.9,51.28287274,5.030537117,82652.30775,75.76818056,0.42768492,7.13879145,0.0,137207.3372,59.89559373820108,Poor
22-01-2020,1.715238266,198.8179925,18.7,18.06174038,4.375591265,49096.36107,42.34513246,0.097851354,6.974185515,0.0,89079.54269,58.71893900750564,Poor
23-01-2020,1.786679648,209.2931765,18.6,24.55212917,4.515139989,55242.60301,48.62797736,0.165199277,7.008178989,0.0,98534.64815,58.77297687599893,Poor
24-01-2020,1.55,178.0,17.1,12.3,4.1,49000.0,40.0,0.0,6.92,1.5,80000.0,58.71893900750564,Poor
25-01-2020,1.690882911,194.4222991,16.3,13.612552,4.316611182,49000.0,40.0,0.060887491,6.956687732,0.4,82763.87511,58.71893900750564,Poor
26-01-2020,1.835741066,215.8908271,17.5,27.3926162,4.602728249,56995.68771,50.81268705,0.201326577,7.027252202,0.0,102792.5132,58.898991934319504,Poor
27-01-2020,1.59748575,179.8860957,17.4,12.3,4.122532074,49000.0,40.0,0.0,6.92,0.0,80000.0,58.71893900750564,Poor
28-01-2020,1.917278627,227.5824331,18.9,34.08431655,4.758347073,62917.73243,57.04023285,0.273709461,7.064158206,0.0,112593.9743,59.14282669076247,Poor
29-01-2020,1.736788199,200.2301956,20.1,15.27940252,4.393511371,49000.0,40.0,0.088486138,6.971915968,0.0,85377.77043,58.71893900750564,Poor
30-01-2020,1.813672079,211.4781077,19.1,22.195654,4.543341334,50224.69572,44.66647814,0.160535278,7.00831791,0.0,95458.35228,58.773894714955425,Poor
31-01-2020,1.767077904,204.1983991,17.8,16.74806345,4.446133401,49000.0,40.0,0.109005949,6.982938455,0.0,87612.44355,58.71893900750564,Poor
01-02-2020,2.361876341,282.316545,17.9,78.09548605,5.352703394,101527.2753,100.0762091,0.713356357,7.24085273,0.0,186174.7597,60.1557409911584,Poor
02-02-2020,2.008748282,228.5549626,17.3,42.08434656,4.629612967,64914.16417,63.80558906,0.355758499,7.06042842,0.0,134447.2958,59.36298066758969,Poor
