Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Temperature,Turbidity,Nitrate,pH,Rainfall,Total Coliform,WQI,Quality
01-01-2020,3.871002259,306.5533988,10.25266994,9051.684187,2683.850031,25.00402554,9.594281498,0.490266994,8.085299853,0.0,4647.304377,65.01736406028807,Poor
02-01-2020,3.800765204,303.6765245,10.10882622,8717.346934,2373.521916,24.46234673,9.499653436,0.475882622,8.077265265,0.0,4699.101402,64.96323204225266,Poor
03-01-2020,3.872646586,306.4846407,10.24923204,9093.538599,2388.617089,25.05753949,9.469474479,0.489923204,8.083446318,3.2,4579.424287,65.00509286372026,Poor
04-01-2020,3.953494113,309.6516758,10.40758379,9514.492748,2518.131794,25.72437952,8.964360917,0.505758379,8.090528081,3.2,3938.790067,65.05303537052151,Poor
05-01-2020,3.771118465,302.2900766,10.03950383,8619.25782,2414.81048,24.28534631,9.569448307,0.468950383,8.071291917,0.1,4600.397768,64.92326149707304,Poor
06-01-2020,3.764494034,301.9588387,10.02294193,8602.700846,2550.511989,24.25222908,9.426544939,0.467294193,8.069635563,0.1,5203.586305,64.91219742321893,Poor
07-01-2020,3.939236154,308.8825949,10.36912974,9492.893588,2409.068423,25.66994461,9.464777386,0.501912974,8.086120846,0.0,4419.453605,65.0236369364206,Poor
08-01-2020,3.851500657,305.3075981,10.1903799,9070.610324,2220.959005,24.9877337,9.21632376,0.48403799,8.076363643,0.0,4296.74659,64.95786938879982,Poor
09-01-2020,3.721289169,300.0339328,9.926696641,8435.854325,2407.596464,23.96560353,9.261348021,0.457669664,8.062364408,0.0,4614.948206,64.86345619198912,Poor
10-01-2020,3.816011079,303.7579939,10.1128997,8925.667709,2098.448602,24.74282341,9.235779622,0.47628997,8.070864369,0.0,4584.504229,64.92097156298428,Poor
11-01-2020,3.708972738,299.4120546,9.895602731,8406.577423,2340.855076,23.90583838,9.502182433,0.454560273,8.05919445,0.0,4836.535252,64.84250019189196,Poor
12-01-2020,3.702343839,299.0829217,9.879146084,8389.427158,2304.500019,23.87200027,9.202113076,0.452914608,8.057571906,0.0,4089.358579,64.8317801848964,Poor
13-01-2020,3.766760116,301.5960436,10.00480218,8727.390859,2261.58149,24.40638926,9.674544219,0.465480218,8.063060595,0.9,4674.221368,64.86862499681799,Poor
14-01-2020,3.544929592,292.6597598,9.557987992,7634.003919,2269.614518,22.65066389,9.324477535,0.420798799,8.039931602,0.9,4620.109649,64.7152322316306,Poor
15-01-2020,3.557508081,293.1003219,9.580016094,7712.540744,1911.130021,22.77006505,8.963613043,0.423001609,8.040250788,0.0,4388.605784,64.71734106575336,Poor
16-01-2020,3.667563733,297.4404742,9.79702371,8278.337451,2169.995626,23.66913241,9.173642261,0.444702371,8.050325246,0.0,4521.217107,64.78390213296413,Poor
17-01-2020,3.616354211,295.3305416,9.691527082,8037.677746,2290.615633,23.27792172,9.049781609,0.434152708,8.044281019,0.0,4716.907224,64.74396845121329,Poor
18-01-2020,3.74296093,300.3337992,9.941689959,8685.964159,2296.391525,24.30907885,8.722174121,0.459168996,8.056026523,0.0,4658.324983,64.82169159425781,Poor
19-01-2020,3.61468851,295.1424496,9.682122478,8059.715255,2051.328618,23.30103533,9.462053304,0.433212248,8.042292489,0.0,4042.389676,64.73083040656805,Poor
20-01-2020,3.558272904,292.8259489,9.566297446,7792.606336,2502.520661,22.86767341,9.264076242,0.421629745,8.035752782,0.0,4620.116096,64.68762313157957,Poor
21-01-2020,3.84013992,304.0413473,10.12706736,9216.761993,2068.733835,25.14039423,9.211563475,0.477706736,8.063050249,0.0,4343.546625,64.86944759254536,Poor
22-01-2020,3.665130351,296.9822938,9.774114692,8356.381802,2428.526416,23.75791886,9.119668172,0.442411469,8.044669232,0.0,4373.814693,64.74653334071753,Poor
23-01-2020,3.688656645,297.865304,9.818265202,8488.523664,2312.818653,23.96354169,8.792045938,0.44682652,8.046151238,0.0,4363.028768,64.75632482537831,Poor
24-01-2020,3.533689476,291.609222,9.5054611,7728.036644,2090.959907,22.74102293,8.953789994,0.41554611,8.029793592,0.0,4285.235157,64.64825128188686,Poor
25-01-2020,3.61605282,294.8470237,9.667351187,8154.03637,2568.176045,23.41694928,9.20114082,0.431735119,8.037178946,0.0,4677.183048,64.69704567300637,Poor
26-01-2020,3.675978158,297.1879853,9.784399266,8467.676043,1967.380008,23.91316757,8.805024429,0.443439927,8.042330701,0.0,4284.045673,64.7310828699264,Poor
27-01-2020,3.544251017,291.8635444,9.518177221,7822.879148,2383.018803,22.87595701,8.491616058,0.416817722,8.028327658,0.0,3962.918114,64.6385659835313,Poor
28-01-2020,3.691455962,297.6971001,9.809855004,8572.564409,2392.474164,24.06998921,8.935473048,0.4459855,8.04222852,0.0,4170.477593,64.73040776895236,Poor
29-01-2020,3.588431005,293.5221889,9.601109447,8070.91784,2051.494551,23.26196342,8.935694971,0.425110945,8.031117332,0.0,4332.036304,64.65699711685978,Poor
30-01-2020,3.61400874,294.4921307,9.649606537,8212.098412,2457.465703,23.48253557,8.974544292,0.429960654,8.032877591,0.0,4637.2234,64.66862699487478,Poor
31-01-2020,3.577766796,292.9900464,9.57450232,8043.990337,2122.412518,23.208322,9.076758282,0.422450232,8.028467298,0.0,4439.561138,64.63948857285821,Poor
01-02-2020,3.818002273,302.5478355,10.05239177,9258.075228,2223.706794,25.14569482,9.042441332,0.470239177,8.051716395,0.0,3993.791518,64.79402164183,Poor
02-02-2020,3.626340914,294.8305429,9.666527146,8312.477978,2211.677663,23.6276554,8.950787199,0.431652715,8.031787687,0.0,4984.976918,64.66142609400276,Poor
03-02-2020,3.516916416,290.4035317,9.445176587,7777.863309,2126.497638,22.7672688,9.122504744,0.409517659,8.020094768,0.0,4309.471673,64.58417199582209,Poor
04-02-2020,3.700021047,297.6785074,9.808925372,8705.688846,2309.36985,24.24686871,8.564226531,0.445892537,8.037667088,0.0,4603.429514,64.70027078471664,Poor
05-02-2020,3.49084487,289.2630871,9.388154356,7671.901261,2299.859287,22.58797125,8.953820221,0.403815436,8.016023872,0.0,4166.227985,64.5572759402463,Poor
06-02-2020,3.629063338,294.7443033,9.662215165,8374.874243,1785.514828,23.70797577,8.96336073,0.431221516,8.029132881,0.0,4362.839608,64.64388602181252,Poor
07-02-2020,3.407544183,285.8368793,9.216843964,7278.942927,2390.257043,21.94981988,8.575560029,0.386684396,8.006281098,0.0,4445.924043,64.49290628035658,Poor
08-02-2020,3.466114664,288.1339193,9.331695963,7583.240148,1791.168189,22.43211751,8.508592344,0.398169596,8.011451457,0.0,4550.958293,64.52706639228545,Poor
09-02-2020,3.614130678,294.0096727,9.625483634,8334.542005,2324.564934,23.62971176,8.645950809,0.427548363,8.025579751,0.0,4494.294032,64.62041080113677,Poor
10-02-2020,3.663893041,295.9561855,9.722809275,8594.349249,2337.899007,24.04100518,8.64908666,0.437280927,8.029896262,0.0,4430.496069,64.64892961364133,Poor
11-02-2020,3.602876886,293.472476,9.598623801,8300.034286,1888.981786,23.56579491,8.918621574,0.42486238,8.023148697,0.0,4066.236589,64.60434903893707,Poor
12-02-2020,3.569962026,292.1137496,9.53068748,8145.992995,2019.745711,23.31511565,8.631863664,0.418068748,8.019225231,0.0,3981.33904,64.5784270405402,Poor
13-02-2020,3.547297652,291.1659863,9.483299315,8042.968206,1875.619093,23.14615715,8.570630363,0.413329931,8.016340968,0.0,4244.922293,64.55937096592095,Poor
14-02-2020,3.42553258,286.255151,9.23775755,7444.200953,2048.746768,22.1841063,8.607000688,0.388775755,8.003560975,0.0,4417.534883,64.47493466443197,Poor
15-02-2020,3.4974739,289.0935392,9.37967696,7813.723697,2025.216044,22.77141624,8.940783718,0.402967696,8.010166138,0.0,4063.418141,64.5185744015157,Poor
16-02-2020,3.519565931,289.9389353,9.421946766,7933.755135,2237.969367,22.95963802,8.707701826,0.407194677,8.011801064,0.0,4442.60748,64.52937621530764,Poor
17-02-2020,3.6676126,295.8235078,9.716175388,8683.312056,2339.437221,24.15519967,8.657588473,0.436617539,8.026046317,0.0,4551.848231,64.62349336209283,Poor
18-02-2020,3.592632961,292.7880298,9.564401488,8317.486975,2351.975677,23.56625029,8.660096188,0.421440149,8.018003966,0.0,3834.362097,64.57035824897373,Poor
19-02-2020,3.378439133,284.1849968,9.134249841,7255.337794,1955.995331,21.86328362,8.929484407,0.378424984,7.996055386,0.0,3851.567193,64.42534589113167,Poor
20-02-2020,3.583725869,292.3622095,9.543110475,8290.335666,2022.302466,23.51585454,8.510532756,0.419311048,8.016070208,0.0,4054.107743,64.55758207816561,Poor
21-02-2020,3.50948689,289.3594268,9.39297134,7927.446656,1723.30626,22.93190977,8.913086403,0.404297134,8.008147957,0.0,4182.274647,64.50524045529403,Poor
22-02-2020,3.477084871,288.0311655,9.326558277,7773.481677,1894.797325,22.68234775,8.682027606,0.397655828,8.004425048,0.0,3926.586904,64.4806435195414,Poor
23-02-2020,3.602831913,293.0299193,9.576495967,8409.998854,2245.050681,23.69766245,8.59811701,0.422649597,8.016532834,0.0,4483.781336,64.56063860788457,Poor
24-02-2020,3.641757631,294.556882,9.652844102,8612.143959,2371.438664,24.01808801,9.120985347,0.43028441,8.019974415,0.0,4199.703207,64.5833768340256,Poor
