Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Temperature,Turbidity,Rainfall,Total Coliform,WQI,Quality
01-01-2020,3.175667485,356.0400491,11.15317313,3211.002259,53.26606824,1.951000196,9.165833841,24.25352235,13.79954016,0.0,6482.368029,67.48380093605626,Poor
02-01-2020,3.139706556,353.8823934,10.94161957,3140.765204,48.56902645,1.913354465,9.12903051,23.77955339,13.83772198,0.0,6512.687373,67.48301479027909,Poor
03-01-2020,3.174808009,355.9884806,11.15642447,3212.646586,48.75349217,1.946777442,9.163292726,24.30034705,14.05702899,0.0,6428.706441,67.48378214697951,Poor
04-01-2020,3.214395948,358.3637569,11.39813123,3293.494113,50.65442146,1.98469373,9.202044839,24.88383208,13.69551096,0.0,5997.437833,67.48464758321795,Poor
05-01-2020,3.122375958,352.8425575,10.85017212,3111.118465,49.06299347,1.891009409,9.109192683,23.62467803,13.94785339,0.0,6434.348805,67.48263592417838,Poor
06-01-2020,3.118235483,352.594129,10.82947057,3104.494034,51.05710315,1.885212416,9.10422395,23.59570045,13.75927198,0.0,6832.333201,67.48254540880274,Poor
07-01-2020,3.204782436,357.7869462,11.35287282,3279.236154,48.8942443,1.970111154,9.189946795,24.83620154,13.69531894,0.0,6305.457532,67.48443742119069,Poor
08-01-2020,3.160094976,355.1056986,11.08884662,3191.500657,46.03161747,1.923784272,9.144439624,24.23926699,13.75184147,0.0,6219.5543,67.48346050375282,Poor
09-01-2020,3.09417416,351.1504496,10.69739708,3061.289169,48.79042575,1.856233312,9.077703736,23.34490309,13.59530388,0.0,6427.61335,67.48201940158857,Poor
10-01-2020,3.140724924,353.9434954,10.98075262,3156.011079,44.11269825,1.901163693,9.123444308,24.02497048,13.559371,0.0,6403.266408,67.48303705290388,Poor
11-01-2020,3.086400683,350.684041,10.65883253,3048.972738,47.70854181,1.84522931,9.068314996,23.29260859,13.27604379,0.0,6567.261735,67.48184946476717,Poor
12-01-2020,3.082286521,350.4371913,10.63814612,3042.343839,47.12323038,1.839515725,9.063401123,23.26300023,13.53942022,0.0,6065.145395,67.48175952463018,Poor
13-01-2020,3.113700544,352.3220327,10.83060084,3106.760116,46.43974666,1.869341517,9.094021031,23.73059061,13.46522339,0.0,6451.083343,67.48244627002113,Poor
14-01-2020,3.001996998,345.6198199,10.16432098,2884.929592,46.52082788,1.756061402,8.9815292,22.1943309,13.43043087,0.0,6411.067443,67.48000430660205,Poor
15-01-2020,3.007504023,345.9502414,10.20127423,2897.508081,41.10444946,1.760003989,8.986254006,22.29880692,13.58962402,0.0,6252.820438,67.48012469627632,Poor
16-01-2020,3.061755927,349.2053556,10.53066526,3007.563733,44.94863743,1.812704049,9.039729988,23.08549086,13.61081852,0.0,6337.348375,67.48131070305325,Poor
17-01-2020,3.035381771,347.6229062,10.3762673,2956.354211,46.71946777,1.784791101,9.012586436,22.7431815,13.49860219,0.0,6463.961476,67.48073413473729,Poor
18-01-2020,3.09792249,351.3753494,10.75532482,3082.96093,46.7679741,1.845806539,9.074364514,23.64544399,13.6245539,0.0,6421.093445,67.4821013442396,Poor
19-01-2020,3.033030619,347.4818372,10.36975189,2954.68851,43.05424751,1.779403349,9.008716984,22.76340591,13.51413515,0.0,6006.691607,67.48068273599067,Poor
20-01-2020,3.004074362,345.7444617,10.19975662,2898.272904,49.78470539,1.74895018,8.979012271,22.38421424,13.31381559,0.0,6388.100277,67.4800497200685,Poor
21-01-2020,3.144266841,354.1560104,11.04461664,3180.13992,43.24085155,1.887660602,9.118463721,24.37284495,13.25431956,0.0,6200.015486,67.4831144831305,Poor
22-01-2020,3.056028673,348.8617204,10.51885455,3005.130351,48.60107112,1.797955668,9.029492171,23.16317901,13.38378686,0.0,6216.527283,67.48118549894338,Poor
23-01-2020,3.067066301,349.523978,10.58870791,3028.656645,46.8291787,1.807542257,9.039804279,23.34309898,13.41058265,0.0,6205.709069,67.48142679370399,Poor
24-01-2020,2.988865275,344.8319165,10.12308897,2873.689476,43.46542545,1.727906349,8.960885812,22.27339506,13.55028765,0.0,6150.259455,67.1681429120819,Poor
25-01-2020,3.029337797,347.2602678,10.36946985,2956.05282,50.58821,1.76696057,9.000649183,22.86483062,13.48413314,0.0,6408.012298,67.48060200677693,Poor
26-01-2020,3.058599816,349.015989,10.54854521,3015.978158,41.54123698,1.794821291,9.029210554,23.29902162,13.11308121,0.0,6142.417469,67.48124170698826,Poor
27-01-2020,2.992044305,345.0226583,10.15267185,2884.251017,47.74122189,1.726881899,8.961963102,22.39146239,13.17675663,0.0,5924.872727,67.25716872487793,Poor
28-01-2020,3.064963751,349.3978251,10.59360366,3031.455962,47.84890095,1.798435291,9.034199521,23.43624056,13.30745551,0.0,6059.830579,67.48138082966553,Poor
29-01-2020,3.012777362,346.2666417,10.28385487,2928.431005,42.70051123,1.74490108,8.981339221,22.72921799,13.36326463,0.0,6164.166832,67.48023997730088,Poor
30-01-2020,3.024901634,346.9940981,10.35992348,2954.00874,48.75684877,1.755696163,8.992798899,22.92221863,13.31419815,0.0,6364.301922,67.48050502736281,Poor
31-01-2020,3.00612558,345.8675348,10.25054257,2917.766796,43.69829688,1.735609944,8.973367762,22.68228175,13.09070081,0.0,6229.251669,67.48009456197624,Poor
01-02-2020,3.125597943,353.0358766,10.97060363,3158.002273,45.18544225,1.853791557,9.09219475,24.37748297,12.83008371,0.0,5928.845046,67.48270636034394,Poor
